"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"Jan 114",15.0056483840778,-16.980072734814,46.9913695029696,-33.9122906969996,63.9235874651552
"Feb 114",22.1615467440597,-9.98705017600923,54.3101436641286,-27.0054893791056,71.328582867225
"Mar 114",24.3484871999684,-7.84864135775902,56.5456157576959,-24.8927716579497,73.5897460578866
"Apr 114",37.2968175830935,5.08519472122673,69.5084404449604,-11.9666084000951,86.5602435662822
"May 114",57.548107202451,25.3321525440415,89.7640618608604,8.27805630814663,106.818158096755
"Jun 114",161.733151601161,129.51590206811,193.950401134211,112.461120366986,211.005182835335
"Jul 114",274.089972637856,241.872336012987,306.307609262724,224.817349397833,323.362595877879
"Aug 114",252.892894629862,220.675142285053,285.110646974672,203.620094411462,302.165694848263
"Sep 114",173.373177883467,141.155390944338,205.590964822596,124.10032475762,222.646031009314
"Oct 114",71.7338377601645,39.5160404790935,103.951635041236,22.4609688176826,121.006706702646
"Nov 114",29.9837173742535,-2.23408299853357,62.2015177470406,-19.2891562966001,79.2565910451072
"Dec 114",12.9402407483385,-19.277560548715,45.158042045392,-36.3326343360587,62.2131158327356
