"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"Jan 64",21.4656833400404,-61.1070000640455,104.038366744126,-104.818338255347,147.749704935428
"Feb 64",48.2562901206138,-34.4009538989668,130.913534140194,-78.1570557761407,174.669636017368
"Mar 64",16.8315328378404,-66.1043908932463,99.7674565689272,-110.008016898431,143.671082574112
"Apr 64",-0.822701470906793,-85.0383452523737,83.3929423105601,-129.619414130991,127.974011189178
"May 64",-4.42403371272438,-88.6556789452225,79.8076115197737,-133.245218480342,124.397151054894
"Jun 64",156.132514772697,71.8962084958891,240.368821049505,27.3042015529563,284.960827992438
"Jul 64",181.253740588476,95.6232242234803,266.884256953471,50.293167042114,312.214314134837
"Aug 64",217.548425583532,131.816490567404,303.280360599661,86.4327455951623,348.664105571902
"Sep 64",49.0414085550624,-36.8017855100907,134.884602620215,-82.2444274651871,180.327244575312
"Oct 64",47.7887009010126,-39.1356416066285,134.713043408654,-85.150608975607,180.728010777632
"Nov 64",4.87256892555075,-82.147257742445,91.8923955935465,-128.212771372646,137.957909223747
"Dec 64",19.6086115321425,-67.5340709525056,106.751294016791,-113.664620523517,152.881843587802
