"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"Jan 114",17.9554663891593,-13.0968336138753,49.0077663921939,-29.5349282850632,65.4458610633818
"Feb 114",22.6071987023217,-8.70998112678829,53.9243785314318,-25.2882947079149,70.5026921125584
"Mar 114",27.0849301445232,-4.3046100919094,58.4744703809557,-20.9212289588247,75.091089247871
"Apr 114",37.601665853214,6.19228034985765,69.0110513565703,-10.4348439667808,85.6381756732087
"May 114",62.3712102774682,30.9563762865216,93.7860442684147,14.3263677147776,110.416052840159
"Jun 114",169.273112040419,137.856781745898,200.689442334939,121.225981078889,217.320243001949
"Jul 114",290.12545508509,258.708713858811,321.542196311368,242.07769565767,338.17321451251
"Aug 114",256.867481162223,225.450627177198,288.284335147247,208.819549285182,304.915413039263
"Sep 114",171.828003042358,140.411118474877,203.244887609839,123.780024393486,219.87598169123
"Oct 114",77.388984643823,45.9720930881421,108.805876199504,29.3409953074219,125.436973980224
"Nov 114",29.7395174234597,-1.67737091232209,61.1564057592416,-18.3084669885307,77.7875018354502
"Dec 114",14.8871130683073,-16.5297556716297,46.3039818082444,-33.1608413744247,62.9350675110394
