crop,next
rice,soyabean
rice,gram
wheat,gram
wheat,sunflower
wheat,maize
wheat,sugarcane
cotton,wheat
cotton,alfalfa
cotton,beans
jute,mustard
jute,gram
jute,peas
sugarcane,rice
sugarcane,cotton
sugarcane,turmeric
jowar,gram
maize,beans
pulses,wheat
ragi,maize
ragi,rice
gram,rice
gram,maize
oilseed,pulses
oilseed,wheat
oilseed,beans
tobacco,wheat
potato,onion
potato,beans
potato,cabbage
peas,cucumber
peas,wheat
peas,barley
peas,potato
onion,cabbage
